result_id|test_id|sample_size_mean_op|sample_size_mean|sample_size_min_op|sample_size_min|sample_size_max_op|sample_size_max|sample_size_unit|sample_size_comments|obs_duration_mean_op|obs_duration_mean|obs_duration_min_op|obs_duration_min|obs_duration_max_op|obs_duration_max|obs_duration_unit|obs_duration_comments|endpoint|endpoint_comments|trend|effect|effect_comments|measurement|measurement_comments|response_site|response_site_comments|effect_pct_mean_op|effect_pct_mean|effect_pct_min_op|effect_pct_min|effect_pct_max_op|effect_pct_max|effect_pct_comments|conc1_type|ion1|conc1_mean_op|conc1_mean|conc1_min_op|conc1_min|conc1_max_op|conc1_max|conc1_unit|conc1_comments|conc2_type|ion2|conc2_mean_op|conc2_mean|conc2_min_op|conc2_min|conc2_max_op|conc2_max|conc2_unit|conc2_comments|conc3_type|ion3|conc3_mean_op|conc3_mean|conc3_min_op|conc3_min|conc3_max_op|conc3_max|conc3_unit|conc3_comments|bcf1_mean_op|bcf1_mean|bcf1_min_op|bcf1_min|bcf1_max_op|bcf1_max|bcf1_unit|bcf1_comments|bcf2_mean_op|bcf2_mean|bcf2_min_op|bcf2_min|bcf2_max_op|bcf2_max|bcf2_unit|bcf2_comments|bcf3_mean_op|bcf3_mean|bcf3_min_op|bcf3_min|bcf3_max_op|bcf3_max|bcf3_unit|bcf3_comments|significance_code|significance_type|significance_level_mean_op|significance_level_mean|significance_level_min_op|significance_level_min|significance_level_max_op|significance_level_max|significance_comments|chem_analysis_method|chem_analysis_method_comments|endpoint_assigned|organism_final_wt_mean_op|organism_final_wt_mean|organism_final_wt_min_op|organism_final_wt_min|organism_final_wt_max_op|organism_final_wt_max|organism_final_wt_unit|organism_final_wt_comments|intake_rate_mean_op|intake_rate_mean|intake_rate_min_op|intake_rate_min|intake_rate_max_op|intake_rate_max|intake_rate_unit|intake_rate_comments|lipid_pct_mean_op|lipid_pct_mean|lipid_pct_min_op|lipid_pct_min|lipid_pct_max_op|lipid_pct_max|lipid_pct_comments|dry_wet|dry_wet_pct_mean_op|dry_wet_pct_mean|dry_wet_pct_min_op|dry_wet_pct_min|dry_wet_pct_max_op|dry_wet_pct_max|dry_wet_pct_comments|steady_state|additional_comments|companion_tag|created_date|modified_date|old_terretox_result_number
5625|1121131||NC||NC||NC|NC|||96||NR||NR|h||LC50||NR|MOR||MORT||NR|||NR||NR||NR||A|NR||3.20||2.7||3.8|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||M||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| CONTR/SOLV//CARRIER/ACETONE// ||01/31/1985||
6091|1070981||NC||NC||NC|NC|||24||NR||NR|h||LC50||NR|MOR||MORT||NR|||NR||NR||NR||A|NR||46||34||60|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| CARRIER/ACETONE// ||01/31/1985||
7692|1077063||NC||NC||NC|NC|||96||NR||NR|h||LC50||NR|MOR||MORT||NR|||NR||NR||NR||T|NR|>|560||NR||NR|ug/L|/||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||M||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| CONC/BASED ON NOMINAL CONC// ||01/31/1985||
8410|1071692||NC||NC||NC|NC|||5||NR||NR|d||NR||NR|DVP/|/|GDVP||NR|||NR||NR||NR||A|NR||20||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NR|NR||NR||NR||NR||M||NR||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| CARRIER/ACETONE// CONTR/SOLVENT,0.1ML/L; 0.9% INHIBITED// EFFECT/NO EFFECT ON VELIGER EMBRYO DEVELOPMENT// ||01/31/1985||
9529|1002059||NC||NC||NC|NC|||24||NR||NR|h||LC50||NR|MOR||MORT||NR|||NR||NR||NR||T|Fe||99400*||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||06/02/1993||
9668|1068021||NC||NC||NC|NC|||48||NR||NR|h||EC50/|/|NR|DVP||GDVP||NR|||NR||NR||NR||A|NR||750||730||760|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| O EFCT CONT/DUCE A FEMALE TO SPAWN AND THE SENSITIVITY OF ITS PROGENY TO DSS// ENDPT/SHELL DEVELOPMENT//CONTR/7.6 % MORT, 2.1 % CONTROL ABNORMALITY// ||01/31/1985|09/01/1993|
10573|1071208||NC||NC||NC|NC|||NR||5||7|d||NR||NR|REP/|/|GREP||NR|||NR||NR||NR||A|NR||0.47||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NR|NR||NR||NR||NR||M/|/|NR||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| CARRIER/ACETONE//AERATION//CONTR/SOLVENT CONTR, 0 % MORT// CONC/NOMINAL CONC REPORTED// EFCT/NO EFCT ON REPRODUCTION// ||01/31/1985|08/24/1993|
10867|1024216||NC||NC||NC|NC|||24||NR||NR|h||LC50||NR|MOR||MORT||NR|||NR||NR||NR||F|NR||4900||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||01/31/1985||
11276|1030107||NC||NC||NC|NC|||96||NR||NR|h||LC50||NR|MOR||MORT||NR|||NR||NR||NR||A|NR||1.98||1.66||2.36|ul/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||01/31/1985||
11681|1030269||NC||NC||NC|NC|||24||NR||NR|h||LC50||NR|MOR||MORT||NR|||NR||NR||NR||A|NR||24.7||21.4||28.5|ul/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||01/31/1985||
11959|1075789||NC||NC||NC|NC|||96||NR||NR|h||LC50||NR|MOR||MORT||NR|||NR||NR||NR||T|H2S||776.1||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||M||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||01/31/1985||
12348|1075036||NC||NC||NC|NC|||10||NR||NR|d||NR||NR|FDB/|/|GFDB||NR|||NR||NR||NR||T|NR||33||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NR|NR||NR||NR||NR||M||NR||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| EFFECT/REDUCED FOOD CONSUMPTION,CONTROL=0.604 MG/INDIVIDUAL/ DAY; TREATMENT = 0.428 MG/INDIVIDUAL/DAY// ||01/31/1985||
12992|1114682||NC||NC||NC|NC|||24||NR||NR|h||BCF||NR|ACC/|/|RSDE||NR|||NR||NR||NR||T|Hg||0.5||NR||NR|ug/L|/||||||||||||||||||||||0.84||NR||NR|L/kg||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| EFCT/ELIMINATION DESCRIBED, POSTERIOR INTESTINE ANALYZED//CONC/MG/KG//||01/31/1985||
13563|1024339||NC||NC||NC|NC|||3||NR||NR|h||LC50||NR|MOR||MORT||NR|||NR||NR||NR||F|NR|>|2000||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||01/31/1985|06/06/1990|
13696|1097079||NC||NC||NC|NC|||90||NR||NR|d||NR||NR|PHY/|/|GPHY||NR|||NR||NR||NR||A|NR||50||NR||NR|mg/kg|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NR|NR||NR||NR||NR||M||NR||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| CONTR/57.6 LIVER LIPID INDEX//EFFECT/55.7 LIVER LIPID INDEX// CONC/HIGHEST CONC TESTED//HARD/315-318 UG/KG/// ||01/31/1985||
15044|1010650||NC||NC||NC|NC|||60||NR||NR|d||NR||NR|REP/|/|GREP||NR|||NR||NR||NR||A|NR||2.8||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NR|NR||NR||NR||NR||M||NR||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| CARRIER/ACETONE//CONTR/52 % MORT,130 YOUNG PRODUCED//EFFECT/ 131 YOUNG PRODUCED// ||01/31/1985||
18390|1157978||NC||NC||NC|NC|||24||NR||NR|h||NR||NEF|PHY||PSYN/|C-14 UPTAKE//|NR|||0||NR||NR||A|NR||3000||NR||NR|ug/L|/||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NOSIG|P|<|0.05||NR||NR||U||NR||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| LIFESTG/CELL/ML//CONC/ONLY CONC TESTED// ||04/11/1996|04/19/1996|
19013|1080976||NC||NC||NC|NC|||96||NR||NR|h||LC50||INC|MOR||MORT||NR|||NR||NR||NR||F|NR||5500||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||NR||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||01/31/1985|10/06/1998|
19374|1013584||NC||NC||NC|NC|||48||NR||NR|h||LC50||NR|MOR||MORT||NR|||NR||NR||NR||F|NR||315||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| AERATION// CARRIER/ACETONE,1 ML// CONTR/NO CARRIER CONTROL// ||01/31/1985|08/24/1993|
19543|1104587||NC||NC||NC|NC|||8||NR||NR|d||NR||NR|BCM/|/|HEMT||NR|||NR||NR||NR||T|N||61*||NR||NR|ug/L|/||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NR|NR||NR||NR||NR||M||NR||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| CONTR/HEM LEVELS REPORTED// EFCT/FLATTENING & SPECTRAL SHIFT OF HEMOGLOBIN ABSORPTION CURVE,> HEMOGLOBIN PH//CONC/ONLY CONC TESTED//||01/31/1985||
21684|1018455||NC||NC||NC|NC|||96||NR||NR|h||EC50/|/|NR|GRO||GGRO||NR|||NR||NR||NR||F|NR||59||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| CARRIER/ACETONE// ENDPT/< SHELL GROWTH// ||01/31/1985|08/24/1993|
22141|1045883||NC||NC||NC|NC|||24||NR||NR|h||EC50*||NR|ITX||IMBL||NR|||NR||NR||NR||F|NR||1.7||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC|" CODE/TAP WATER// CARRIER/ACETONE//CONTR/MORT IN CHECKS ""NEG- LIGIBLE,"" CARRIER CONTR NR// "||01/31/1985||
25972|1086042||NC||NC||NC|NC|||24||NR||NR|h||LC50*||NR|MOR||MORT||NR|||NR||NR||NR||F|NR||3200||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||01/31/1985||
27808|1111365||NC||NC||NC|NC|||6||NR||NR|h||LC50||INC|MOR||MORT/|TLM//|NR|||NR||NR||NR||F|NR||0.075||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||R||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| TESTID/1//MSMT/NR//DOSES/NR//SOURCE/NR//WTINT/31 MG//DNUM/NR//SEX/NR//TMETH/NR//STYPE/ACUTE//ETIME/96 H//AP RATE/NR//SAMPN/NR//WTAT/NR//INTAKE/NR//COMPEP/NR//LD/NR//DW/NR//STST/NR//HMA/NR//NA/NR//CL/NR//DIC/NR//CA/NR//POT/NR//MG/NR//SO4/NR//SULF/NR//||06/20/1996|04/19/2007|
28060|1107817||NC||NC||NC|NC|||10||NR||NR|d||NR||NR|POP/|/|GPOP||NR|||NR||NR||NR||A|NR||10||NR||NR|AI ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NR|NR||NR||NR||NR||U||NR||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| MEDIUM/SEE PAPER// SPEC/AXENIC//24 H PHOTOPERIOD, 5400 LUX// EFCT/30 % DEC PGR// ||01/31/1985|08/24/1993|
28822|1013135||NC||NC||NC|NC|||48||NR||NR|h||LC50*||NR|MOR||MORT||NR|||NR||NR||NR||F|NR||16000||NR||NR|ug/L|/||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| FOLLOWED DOUDOROFF,ET AL 1951 METHODS//CONC/AS ACID EQUIVA- LENT// ||01/31/1985||
29049|1081134||NC||NC||NC|NC|||NR||NR||NR|NR||NR||NR|MOR/|/|MORT||NR|||NR||NR||NR||F|NR||500||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NR|NR||NR||NR||NR||U||NR||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| EFCT/NO EFFECT ON SURVIVAL// ||01/31/1985||
29136|1081012||NC||NC||NC|NC|||96||NR||NR|h||LC50||NR|MOR||MORT||NR|||NR||NR||NR||F|NR|>|100000||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||01/31/1985||
29406|1050740||NC||NC||NC|NC|||NR||0.08||0.25|h||NR||NR|ACC||GACC||NR|||NR||NR||NR||T|N||NR||3270||9020|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NR|NR||NR||NR||NR||M||NR||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||06/02/1993|06/11/1993|
29650|1019196||NC||NC||NC|NC|||24||NR||NR|h||LC50*||NR|MOR||MORT||NR|||NR||NR||NR||F|NR||25000||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||08/13/1992|08/17/1992|
29764|1098004||NC||NC||NC|NC|||24||NR||NR|h||LC50*||NR|MOR||MORT||NR|||NR||NR||NR||F|NR||3300||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||01/31/1985||
30137|1035476||NC||NC||NC|NC|||16||NR||NR|h||NOEC||NR|ITX||IMBL/|THRESHOLD CONCENTRATION//|NR|||NR||NR||NR||T|NR||152||NR||NR|ppm|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NOSIG|NR||NR||NR||NR||U||R||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||01/31/1985|01/20/2010|
32012|1014779||NC||NC||NC|NC|||2||NR||NR|h||NR||INC|MLT||MULT/|STRS,MORT//CONTR/C OR V//|NR|||NR||NR||NR||F|NR||5||NR||NR|ppm|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NR|NR||NR||NR||NR||U||NR||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||01/31/1985|06/12/2006|
32551|1145598||NC||NC||NC|NC|||14||NR||NR|d||EC50||NR|MOR||MORT/|ADULT SURVIVAL; PROBIT OR MOVING AVERAGE ANGLE//|NR|||NR||NR||NR||A|NR||6500||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||02/04/1988|09/01/1994|
32697|1110715||NC||NC||NC|NC|||20||NR||NR|mi||NR||NR|MOR||MORT/|MEAN SURVIVAL TIME//|NR|||NR||NR||NR||F|NR||1.0||NR||NR|%|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NR|NR||NR||NR||NR||U||NR||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||07/19/1995|07/24/1995|
32998|1014881||NC||NC||NC|NC|||24||NR||NR|h||NR||NEF|MLT||MULT/|STRS,MORT//CONTR/C OR V//|NR|||NR||NR||NR||T|NR||5||NR||NR|ppm|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NR|NR||NR||NR||NR||U||NR||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||01/31/1985|06/12/2006|
